nombre_estado,abreviatura
AGUASCALIENTES,AGS.
BAJA CALIFORNIA,B.C.
BAJA CALIFORNIA SUR,B.C.S.
CAMPECHE,CAMP.
CHIAPAS,CHIS.
CHIHUAHUA,CHIH.
CIUDAD DE MEXICO,CD.MX
COAHUILA,COAH.
COLIMA,COL.
DURANGO,DGO.
GUANAJUATO,GTO.
GUERRERO,GRO.
HIDALGO,HGO.
JALISCO,JAL.
MEXICO,MEX.
MICHOACAN,MICH.
MORELOS,MOR.
NAYARIT,NAY.
NUEVO LEON,N.L.
OAXACA,OAX.
PUEBLA,PUE.
QUERETARO,QRO.
QUINTANA ROO,Q. ROO.
SAN LUIS POTOSI,S.L.P.
SINALOA,SIN.
SONORA,SON.
TABASCO,TAB.
TAMAULIPAS,TAMPS.
TLAXCALA,TLAX.
VERACRUZ,VER.
YUCATAN,YUC.
ZACATECAS,ZAC.
