"seccion","tipo","nombre_municipio","cabecera_distrital_local"
"222","U","AGUASCALIENTES","AGUASCALIENTES"
"223","U","AGUASCALIENTES","AGUASCALIENTES"
"224","U","AGUASCALIENTES","AGUASCALIENTES"
"225","U","AGUASCALIENTES","AGUASCALIENTES"
"226","U","AGUASCALIENTES","AGUASCALIENTES"
"227","U","AGUASCALIENTES","AGUASCALIENTES"
"228","U","AGUASCALIENTES","AGUASCALIENTES"
"229","U","AGUASCALIENTES","AGUASCALIENTES"
"230","U","AGUASCALIENTES","AGUASCALIENTES"
"231","U","AGUASCALIENTES","AGUASCALIENTES"
"232","U","AGUASCALIENTES","AGUASCALIENTES"
"233","U","AGUASCALIENTES","AGUASCALIENTES"
"234","U","AGUASCALIENTES","AGUASCALIENTES"
"235","U","AGUASCALIENTES","AGUASCALIENTES"
"236","U","AGUASCALIENTES","AGUASCALIENTES"
"237","U","AGUASCALIENTES","AGUASCALIENTES"
"238","U","AGUASCALIENTES","AGUASCALIENTES"
"239","U","AGUASCALIENTES","AGUASCALIENTES"
"240","U","AGUASCALIENTES","AGUASCALIENTES"
"241","U","AGUASCALIENTES","AGUASCALIENTES"
"242","U","AGUASCALIENTES","AGUASCALIENTES"
"243","U","AGUASCALIENTES","AGUASCALIENTES"
"244","U","AGUASCALIENTES","AGUASCALIENTES"
"245","U","AGUASCALIENTES","AGUASCALIENTES"
"246","U","AGUASCALIENTES","AGUASCALIENTES"
"247","U","AGUASCALIENTES","AGUASCALIENTES"
"248","U","AGUASCALIENTES","AGUASCALIENTES"
"249","U","AGUASCALIENTES","AGUASCALIENTES"
"250","U","AGUASCALIENTES","AGUASCALIENTES"
"251","U","AGUASCALIENTES","AGUASCALIENTES"
"252","U","AGUASCALIENTES","AGUASCALIENTES"
"253","U","AGUASCALIENTES","AGUASCALIENTES"
"254","U","AGUASCALIENTES","AGUASCALIENTES"
"255","U","AGUASCALIENTES","AGUASCALIENTES"
"256","U","AGUASCALIENTES","AGUASCALIENTES"
"257","U","AGUASCALIENTES","AGUASCALIENTES"
"258","U","AGUASCALIENTES","AGUASCALIENTES"
"259","U","AGUASCALIENTES","AGUASCALIENTES"
"260","U","AGUASCALIENTES","AGUASCALIENTES"
"261","U","AGUASCALIENTES","AGUASCALIENTES"
"262","U","AGUASCALIENTES","AGUASCALIENTES"
"263","U","AGUASCALIENTES","AGUASCALIENTES"
"264","U","AGUASCALIENTES","AGUASCALIENTES"
"265","U","AGUASCALIENTES","AGUASCALIENTES"
"266","U","AGUASCALIENTES","AGUASCALIENTES"
"267","U","AGUASCALIENTES","AGUASCALIENTES"
"268","U","AGUASCALIENTES","AGUASCALIENTES"
"269","U","AGUASCALIENTES","AGUASCALIENTES"
"270","U","AGUASCALIENTES","AGUASCALIENTES"
"271","U","AGUASCALIENTES","AGUASCALIENTES"
"272","U","AGUASCALIENTES","AGUASCALIENTES"
"273","U","AGUASCALIENTES","AGUASCALIENTES"
"274","U","AGUASCALIENTES","AGUASCALIENTES"
"275","U","AGUASCALIENTES","AGUASCALIENTES"
"276","U","AGUASCALIENTES","AGUASCALIENTES"
"277","U","AGUASCALIENTES","AGUASCALIENTES"
"278","U","AGUASCALIENTES","AGUASCALIENTES"
"279","U","AGUASCALIENTES","AGUASCALIENTES"
"280","U","AGUASCALIENTES","AGUASCALIENTES"
"281","U","AGUASCALIENTES","AGUASCALIENTES"
"282","U","AGUASCALIENTES","AGUASCALIENTES"
"283","U","AGUASCALIENTES","AGUASCALIENTES"
"284","U","AGUASCALIENTES","AGUASCALIENTES"
"285","U","AGUASCALIENTES","AGUASCALIENTES"
"286","U","AGUASCALIENTES","AGUASCALIENTES"
"287","U","AGUASCALIENTES","AGUASCALIENTES"
"288","U","AGUASCALIENTES","AGUASCALIENTES"
"289","U","AGUASCALIENTES","AGUASCALIENTES"
"290","U","AGUASCALIENTES","AGUASCALIENTES"
"291","U","AGUASCALIENTES","AGUASCALIENTES"
"292","U","AGUASCALIENTES","AGUASCALIENTES"
"293","U","AGUASCALIENTES","AGUASCALIENTES"
"294","U","AGUASCALIENTES","AGUASCALIENTES"
"295","U","AGUASCALIENTES","AGUASCALIENTES"
"296","U","AGUASCALIENTES","AGUASCALIENTES"
"297","U","AGUASCALIENTES","AGUASCALIENTES"
"298","U","AGUASCALIENTES","AGUASCALIENTES"
"299","U","AGUASCALIENTES","AGUASCALIENTES"
